Boa Golfklubb Olofström;Blekinge GDF
Carlskrona Golfklubb;Blekinge GDF
Karlshamns Golfklubb;Blekinge GDF
Leråkra Golfklubb;Blekinge GDF
Nicklastorp Golfklubb;Blekinge GDF
Ronneby Golfklubb;Blekinge GDF
Sölvesborgs Golfklubb;Blekinge GDF
Trummenäs Golfklubb;Blekinge GDF
Allmags Golfklubb;Bohuslän-Dals GDF
Brastad Golfklubb;Bohuslän-Dals GDF
Dagsholm Golfklubb;Bohuslän-Dals GDF
Dynekilens Golfklubb;Bohuslän-Dals GDF
Fjällbacka Golfklubb;Bohuslän-Dals GDF
Forsbacka Golfklubb;Bohuslän-Dals GDF
Holma Stångenäs Golfklubb;Bohuslän-Dals GDF
Lyckorna Golfklubb;Bohuslän-Dals GDF
Melleruds Golfklubb;Bohuslän-Dals GDF
Mjölkeröds Golfklubb;Bohuslän-Dals GDF
Norra Backa Golf Fjällbacka;Bohuslän-Dals GDF
Orust Golfklubb;Bohuslän-Dals GDF
Skaftö Golfklubb;Bohuslän-Dals GDF
Sotenäs Golfklubb;Bohuslän-Dals GDF
Stenungsund Golfklubb;Bohuslän-Dals GDF
Strömstad Golfklubb;Bohuslän-Dals GDF
Tjörns Golfklubb;Bohuslän-Dals GDF
Torreby Golfklubb;Bohuslän-Dals GDF
Uddevalla Golfklubb;Bohuslän-Dals GDF
Avesta Golfklubb;Dalarnas GDF
Dalsjö Golfklubb;Dalarnas GDF
Falun-Borlänge Golfklubb;Dalarnas GDF
Furudals-Bruks Golfklubb;Dalarnas GDF
Gagnefs Golfklubb;Dalarnas GDF
Hagge Golfklubb;Dalarnas GDF
Hedemora Golfklubb;Dalarnas GDF
Idrefjällens Golfklubb;Dalarnas GDF
Leksands Golfklubb;Dalarnas GDF
Malungs Golfklubb;Dalarnas GDF
Mora Golfklubb;Dalarnas GDF
Rättviks Golfklubb;Dalarnas GDF
Samuelsdals Golfklubb;Dalarnas GDF
Snöå Golfklubb;Dalarnas GDF
Solön Golfklubb;Dalarnas GDF
Sälenfjällens Golfklubb;Dalarnas GDF
Säters Golfklubb;Dalarnas GDF
Tällbergsbyarnas Golfklubb;Dalarnas GDF
Älvdalens Golfklubb;Dalarnas GDF
Gotska Golfklubb;Gotlands GDF
Gumbalde Resort;Gotlands GDF
Ljugarns Golfklubb;Gotlands GDF
När Golfklubb;Gotlands GDF
Slite Golfklubb;Gotlands GDF
Visby Golfklubb;Gotlands GDF
Alfta-Edsbyns Golfklubb;Gästrike-Hälsinge GDF
Bollnäs Golfklubb;Gästrike-Hälsinge GDF
Gävle Golfklubb;Gästrike-Hälsinge GDF
Hasselabygdens Golfklubb;Gästrike-Hälsinge GDF
Hofors Golfklubb;Gästrike-Hälsinge GDF
Hudiksvalls Golfklubb;Gästrike-Hälsinge GDF
Högbo Golfklubb;Gästrike-Hälsinge GDF
Järvsöbadens Golfklubb;Gästrike-Hälsinge GDF
Ljusdals Golfklubb;Gästrike-Hälsinge GDF
Mackmyra Golf;Gästrike-Hälsinge GDF
SAIK Golfklubb;Gästrike-Hälsinge GDF
Söderhamns Golfklubb;Gästrike-Hälsinge GDF
Sörfjärdens Golfklubb;Gästrike-Hälsinge GDF
Albatross Golfklubb;Göteborgs GDF
Ale Golfklubb;Göteborgs GDF
Backa Säteri IF;Göteborgs GDF
Chalmers Golfklubb;Göteborgs GDF
Delsjö Golfklubb;Göteborgs GDF
Forsgårdens Golfklubb;Göteborgs GDF
Gräppås Golfklubb;Göteborgs GDF
Gullbringa Golf & Country Club;Göteborgs GDF
Göteborgs Golf Klubb;Göteborgs GDF
Hills Golf & Sports Club;Göteborgs GDF
Hills Golfklubb;Göteborgs GDF
Kungsbacka Golfklubb;Göteborgs GDF
Kungälv-Kode Golfklubb;Göteborgs GDF
Lerjedalens Golfklubb;Göteborgs GDF
Lunna Golf & Country Club;Göteborgs GDF
Lycke Golf & Country Club Marstrand;Göteborgs GDF
Lysegårdens Golfklubb;Göteborgs GDF
Lökeberg Golfklubb;Göteborgs GDF
Myra Golfklubb;Göteborgs GDF
Mölndals Golfklubb;Göteborgs GDF
Partille Golfklubb;Göteborgs GDF
S:t Jörgen Park Golf Club;Göteborgs GDF
Sisjö Golfklubb;Göteborgs GDF
Sjögärde Golfklubb;Göteborgs GDF
Stora Lundby Golfklubb;Göteborgs GDF
Särö Golf Club;Göteborgs GDF
Torrekulla Golfklubb;Göteborgs GDF
Torslanda Golfklubb;Göteborgs GDF
Vallda Golf & Country Club;Göteborgs GDF
World of Golf City Club;Göteborgs GDF
Öijared Golfklubb;Göteborgs GDF
Björnhults Golfklubb;Hallands GDF
Falkenbergs Golfklubb;Hallands GDF
Flygstadens Golfklubb;Hallands GDF
Halmstad Golfarena;Hallands GDF
Halmstad Golfklubb;Hallands GDF
Harabäckens Golfklubb;Hallands GDF
Haverdals Golfklubb;Hallands GDF
Hofgårds Golfklubb;Hallands GDF
Holms Golfklubb;Hallands GDF
Klosterfjordens Golfklubb;Hallands GDF
Laholms Golfklubb;Hallands GDF
Ringenäs Golfklubb;Hallands GDF
Rydö Golfklubb;Hallands GDF
Skogaby Golfklubb;Hallands GDF
Strandtorps Golfklubb;Hallands GDF
Tönnersjö Golfklubb;Hallands GDF
Ullared Flädje Golfklubb;Hallands GDF
Varbergs Golfklubb;Hallands GDF
Vinbergs Golfklubb;Hallands GDF
Funäsfjällens Golfklubb;Jämtland-Härjedalens GDF
Hede-Vemdalens Golfklubb;Jämtland-Härjedalens GDF
Klövsjö-Vemdalens Golfklubb;Jämtland-Härjedalens GDF
Norderöns Golfklubb/Njord;Jämtland-Härjedalens GDF
Rossöns Golfklubb;Jämtland-Härjedalens GDF
Sandnäset Golf;Jämtland-Härjedalens GDF
Storsjöbygdens Golfklubb;Jämtland-Härjedalens GDF
Strömsunds Golfklubb;Jämtland-Härjedalens GDF
Svegs Golfklubb;Jämtland-Härjedalens GDF
Åre Golfklubb;Jämtland-Härjedalens GDF
Östersund-Frösö Golfklubb;Jämtland-Härjedalens GDF
Hussborg Golfklubb;Medelpads GDF
Sundsvalls Golfklubb;Medelpads GDF
Timrå Golfklubb;Medelpads GDF
Öjestrand Golf Club;Medelpads GDF
Arvidsjaurs Golfklubb;Norr- & Västerbottens GDF
Bjurholms Golfklubb;Norr- & Västerbottens GDF
Bodens Golfklubb;Norr- & Västerbottens GDF
Bolidens Golfklubb;Norr- & Västerbottens GDF
Granöbygdens Golfklubb;Norr- & Västerbottens GDF
Gunnarns Golfklubb;Norr- & Västerbottens GDF
Gällivare-Malmbergets Golfklubb;Norr- & Västerbottens GDF
Haparanda Golfklubb;Norr- & Västerbottens GDF
Kalix Golfklubb;Norr- & Västerbottens GDF
Kiruna Golfklubb;Norr- & Västerbottens GDF
Luleå Golfklubb;Norr- & Västerbottens GDF
Lycksele Golfklubb;Norr- & Västerbottens GDF
Norsjö Golfklubb;Norr- & Västerbottens GDF
Piteå Golfklubb;Norr- & Västerbottens GDF
Porjus Golfklubb;Norr- & Västerbottens GDF
Robertsfors Golfklubb;Norr- & Västerbottens GDF
Skellefteå Golfklubb;Norr- & Västerbottens GDF
Tureholms Nya Golfklubb;Norr- & Västerbottens GDF
Umeå Golfklubb;Norr- & Västerbottens GDF
Umeå Norrmjöle Golfklubb;Norr- & Västerbottens GDF
Umeå Sörfors Golfklubb;Norr- & Västerbottens GDF
Åsele Nya Golfklubb;Norr- & Västerbottens GDF
Abbekås Golfklubb;Skånes GDF
Allerum Golfklubb;Skånes GDF
Araslövs Golfklubb;Skånes GDF
Barsebäck Golf;Skånes GDF
Bedinge Golfklubb;Skånes GDF
Bjäre Golfklubb;Skånes GDF
Björkenäs Golfklubb;Skånes GDF
Bokskogens Golfklubb;Skånes GDF
Bosjökloster Golfklubb;Skånes GDF
Båstad Golfklubb;Skånes GDF
Degeberga-Widtsköfle Golfklubb;Skånes GDF
Elisefarm Golf Club;Skånes GDF
Eslövs Golfklubb;Skånes GDF
Falsterbo Golfklubb;Skånes GDF
Flommens Golfklubb;Skånes GDF
Helsingborgs Golfklubb;Skånes GDF
HG Golf Glumslöv;Skånes GDF
Hinton Golf Club;Skånes GDF
Hässlegårdens Golfklubb;Skånes GDF
Höganäs Golfklubb;Skånes GDF
Kristianstads Golfklubb;Skånes GDF
Kävlinge Golfklubb;Skånes GDF
Landskrona Golfklubb;Skånes GDF
Ljungbyheds Golfklubb;Skånes GDF
Ljunghusens Golfklubb;Skånes GDF
Lunds Akademiska Golfklubb;Skånes GDF
Lydinge Golfklubb;Skånes GDF
Malmö Burlöv Golfklubb;Skånes GDF
Mölle Golfklubb;Skånes GDF
Naturligtvis Golf & Country Club;Skånes GDF
Oxie Golfklubb;Skånes GDF
Perstorps Golfklubb;Skånes GDF
PGA Sweden National;Skånes GDF
Romeleåsens Golfklubb;Skånes GDF
Rya Golfklubb;Skånes GDF
S:t Arild Golfklubb;Skånes GDF
S:t Ibbs Golfklubb;Skånes GDF
Sjöbo Golfklubb;Skånes GDF
Skepparslövs Golfklubb;Skånes GDF
Skyrups Golfklubb;Skånes GDF
Söderslätts Golfklubb;Skånes GDF
Söderåsens Golfklubb;Skånes GDF
Sönnertorps Golfklubb;Skånes GDF
Tegelberga Golfklubb;Skånes GDF
Tomelilla Golfklubb;Skånes GDF
Torekovs Golfklubb;Skånes GDF
Trelleborgs Golfklubb;Skånes GDF
Vallgårdens Golfklubb Åkarp;Skånes GDF
Vasatorps Golfklubb;Skånes GDF
Vellinge Golfklubb;Skånes GDF
Värpinge Golfklubb;Skånes GDF
Wittsjö Golfklubb;Skånes GDF
Woodlands Golf & Country Club;Skånes GDF
Ystad Golfklubb;Skånes GDF
Åkagårdens Golfklubb;Skånes GDF
Ängelholms Golfklubb;Skånes GDF
Äppelgårdens Golfklubb;Skånes GDF
Örestads Golfklubb;Skånes GDF
Öresunds Golf;Skånes GDF
Österlens Golfklubb;Skånes GDF
Östra Göinge Golfklubb;Skånes GDF
A6 Golfklubb;Smålands GDF
Alvesta Golfklubb;Smålands GDF
Binga Golf;Smålands GDF
Byxelkroks Golfklubb;Smålands GDF
Böda Sands Golfklubb;Smålands GDF
Ekerum Golfklubb;Smålands GDF
Eksjö Golfklubb;Smålands GDF
Emmaboda Golfklubb;Smålands GDF
Glasrikets Golfklubb Växjö;Smålands GDF
Gränna Golfklubb;Smålands GDF
Götaströms Golfklubb;Smålands GDF
Hooks Golfklubb;Smålands GDF
Isaberg Golfklubb;Smålands GDF
Jönköpings Golfklubb;Smålands GDF
Kalmar Golfklubb;Smålands GDF
Lagans Golfklubb;Smålands GDF
Lanna Golfklubb;Smålands GDF
LinksGolf Öland i Grönhögen;Smålands GDF
Loftahammars Golfklubb;Smålands GDF
Lysingsbadets Golfklubb;Smålands GDF
Mönsterås Golfklubb;Smålands GDF
Möre Golfklubb;Smålands GDF
Nybro Golfklubb;Smålands GDF
Nässjö Golfklubb;Smålands GDF
Oskarshamns Golfklubb;Smålands GDF
Ramkvilla Golfklubb;Smålands GDF
Reftele Golfklubb;Smålands GDF
Ryfors Golfklubb;Smålands GDF
Sand Golf Club;Smålands GDF
Saxnäs Golfklubb;Smålands GDF
Skinnarebo Golf & Country Club;Smålands GDF
Tobo Golfklubb;Smålands GDF
Tranås Golfklubb;Smålands GDF
Uppvidinge Golfklubb;Smålands GDF
Vetlanda Golfklubb;Smålands GDF
Vimmerby Golfklubb;Smålands GDF
Visingsö Golfklubb;Smålands GDF
Värnamo Golfklubb;Smålands GDF
Västerviks Golf;Smålands GDF
Växjö Golfklubb;Smålands GDF
Wiredaholm Golf & Konferens;Smålands GDF
Älmhults Golfklubb;Smålands GDF
Ölands Golfklubb;Smålands GDF
AIK Golfklubb;Stockholms GDF
Arninge Golfklubb;Stockholms GDF
Björkhagens Golfklubb;Stockholms GDF
Björklidens Golfklubb;Stockholms GDF
Botkyrka Golfklubb;Stockholms GDF
Bro Hof Slott Golf Club;Stockholms GDF
Bro-Bålsta Golfklubb;Stockholms GDF
Cloud Golf Club;Stockholms GDF
Danderyds Golfklubb;Stockholms GDF
Djurgårdens IF Golfförening;Stockholms GDF
Djursholms Golfklubb;Stockholms GDF
Ekholmsnäs Golf Lidingö;Stockholms GDF
Fors Golfklubb;Stockholms GDF
Fågelbro Golf & Country Club;Stockholms GDF
GolfStar Golf Club;Stockholms GDF
Grindslanten Golfklubb;Stockholms GDF
Hagby Golfklubb;Stockholms GDF
Hammarby IF Golfförening;Stockholms GDF
Haninge Golfklubb;Stockholms GDF
HaningeStrand Golfklubb;Stockholms GDF
Happy Golfers;Stockholms GDF
Huddinge Golfklubb;Stockholms GDF
Huvudstadens Golfklubb;Stockholms GDF
Hässelby Golfklubb;Stockholms GDF
Idrottshögskolans Golfklubb;Stockholms GDF
Ingarö Golf;Stockholms GDF
Ingarö Golfklubb;Stockholms GDF
Jarlabanke Golfklubb;Stockholms GDF
Järfälla Golfklubb;Stockholms GDF
Kungl. Drottningholms Golfklubb;Stockholms GDF
Lidingö Golfklubb;Stockholms GDF
Ljusterö Golfklubb;Stockholms GDF
Mälarö Golfklubb Skytteholm;Stockholms GDF
Nacka Golfklubb;Stockholms GDF
Norråva Golfklubb;Stockholms GDF
Nynäshamns Golfklubb;Stockholms GDF
Salems Golfklubb;Stockholms GDF
Saltsjöbadens Golfklubb;Stockholms GDF
Smådalarö Golf;Stockholms GDF
Sofielund Golfklubb;Stockholms GDF
Sollentuna Golfklubb;Stockholms GDF
Stockholms Golfklubb;Stockholms GDF
Tjusta Golf;Stockholms GDF
Troxhammar Golfklubb;Stockholms GDF
Tyresö Golf;Stockholms GDF
Täby Golfklubb;Stockholms GDF
Ullna Golf & Country Club;Stockholms GDF
Ulriksdals Golfklubb;Stockholms GDF
Vallentuna Golfklubb;Stockholms GDF
Viksjö Golfklubb;Stockholms GDF
Waxholms Golfklubb;Stockholms GDF
Wermdö Golf & Country Club;Stockholms GDF
Wäsby Golfklubb;Stockholms GDF
Ågesta Golfklubb;Stockholms GDF
Åkersberga Golfklubb;Stockholms GDF
Österåkers Golfklubb;Stockholms GDF
Eskilstuna Golfklubb;Södermanlands GDF
Flens Golfklubb;Södermanlands GDF
Fogdö Golfklubb;Södermanlands GDF
Gripsholms Golfklubb;Södermanlands GDF
Jönåkers Golfklubb;Södermanlands GDF
Kallfors Golf;Södermanlands GDF
Katrineholms Golfklubb;Södermanlands GDF
Kiladalens Golfklubb;Södermanlands GDF
Mälarbadens Golfklubb;Södermanlands GDF
Norrby Golf;Södermanlands GDF
Nyköpings Golfklubb;Södermanlands GDF
Solbacka Golfklubb;Södermanlands GDF
Strands Golfklubb;Södermanlands GDF
Strängnäs Golfklubb;Södermanlands GDF
Sundbyvik Golfklubb;Södermanlands GDF
Torshälla Golfklubb;Södermanlands GDF
Trosa Golfklubb;Södermanlands GDF
Vidbynäs Golf;Södermanlands GDF
Viksbergs Golfklubb;Södermanlands GDF
Vingåkers Golfklubb;Södermanlands GDF
Wasa Golfklubb;Södermanlands GDF
Åda Golf & Country Club;Södermanlands GDF
Arlandastad Golfklubb;Upplands GDF
Burviks Golfklubb;Upplands GDF
Enköpings Golfklubb;Upplands GDF
Friiberghs Golfklubb;Upplands GDF
GolfUppsala;Upplands GDF
Grönlund Golfklubb;Upplands GDF
Hallstaviks Golfklubb;Upplands GDF
Johannesberg Golfklubb;Upplands GDF
Kåbo Golfklubb;Upplands GDF
Olandsbygdens Golfklubb;Upplands GDF
Roslagens Golfklubb Norrtälje;Upplands GDF
Sigtuna Golfklubb;Upplands GDF
Skepptuna Golfklubb Valla;Upplands GDF
Sparren Golfklubb;Upplands GDF
Sundsta Golf Norrtälje;Upplands GDF
Upsala Golfklubb;Upplands GDF
Vassunda Golfklubb;Upplands GDF
Väddö Golfklubb;Upplands GDF
Wattholma Golfklubb;Upplands GDF
Älvkarleby Golfklubb;Upplands GDF
Örbyhus Golfklubb;Upplands GDF
Öregrunds Golfklubb;Upplands GDF
Arvika Golfklubb;Värmlands GDF
Billeruds Golfklubb;Värmlands GDF
Bryngfjordens Golfklubb;Värmlands GDF
Eda Golfklubb;Värmlands GDF
ForshagaDeje Golfklubb;Värmlands GDF
Hammarö Golfklubb;Värmlands GDF
Karlstads Golfklubb;Värmlands GDF
Kils Golfklubb;Värmlands GDF
Kristinehamns Golfklubb;Värmlands GDF
Lundsbergs Golfklubb;Värmlands GDF
Saxå Golfklubb;Värmlands GDF
Sommarro Golf;Värmlands GDF
Sommarro Junior Golfklubb;Värmlands GDF
Sunne Golfklubb;Värmlands GDF
Torsby Golfklubb;Värmlands GDF
Uddeholms Golfklubb;Värmlands GDF
Årjängs Golfklubb;Värmlands GDF
Alingsås Golfklubb;Västergötlands GDF
Billingens Golfklubb;Västergötlands GDF
Borås Golfklubb;Västergötlands GDF
Bredareds Golfklubb;Västergötlands GDF
Brevikens Golfklubb;Västergötlands GDF
Ekarnas Golfklubb;Västergötlands GDF
Falköpings Golfklubb;Västergötlands GDF
Herrljunga Golfklubb;Västergötlands GDF
Hulta-Bollebygd Golfklubb;Västergötlands GDF
Hökensås Golfklubb;Västergötlands GDF
Hörlycke Golfklubb;Västergötlands GDF
Kinds Golfklubb;Västergötlands GDF
Knistad Golf & Country Club;Västergötlands GDF
Koberg Golfklubb;Västergötlands GDF
Lidköpings Golfklubb;Västergötlands GDF
Lundsbrunn Golfklubb;Västergötlands GDF
Läckö Golfklubb;Västergötlands GDF
Mariestads Golfklubb;Västergötlands GDF
Marks Golfklubb;Västergötlands GDF
Onsjö Golfklubb;Västergötlands GDF
Ribbingsfors Golf & Kultur;Västergötlands GDF
Skövde Golfklubb;Västergötlands GDF
Töreboda Golfklubb;Västergötlands GDF
Ulricehamns Golfklubb;Västergötlands GDF
Vara-Bjertorp Golfklubb;Västergötlands GDF
Vårgårda Golfklubb;Västergötlands GDF
Åsundsholms Golfklubb;Västergötlands GDF
Arboga Golfklubb;Västmanlands GDF
Fagersta Golfklubb;Västmanlands GDF
Frösåker Golf & Country Club;Västmanlands GDF
Fullerö Golfklubb;Västmanlands GDF
Hälla Golfklubb;Västmanlands GDF
Köpings Golfklubb;Västmanlands GDF
Orresta Golfklubb;Västmanlands GDF
Sala Golfklubb;Västmanlands GDF
Skerike Golfklubb;Västmanlands GDF
Strömsholms Golfklubb;Västmanlands GDF
Surahammars Golfklubb;Västmanlands GDF
Tortuna Golfklubb;Västmanlands GDF
Västerås Golfklubb;Västmanlands GDF
Ängsö Golfklubb;Västmanlands GDF
Härnösands Golfklubb;Ångermanlands GDF
Norrfällsvikens Golfklubb;Ångermanlands GDF
Sollefteå Golfklubb;Ångermanlands GDF
Veckefjärdens Golf Club;Ångermanlands GDF
Örnsköldsviks Golfklubb Puttom;Ångermanlands GDF
Askersunds Golfklubb;Örebro läns GDF
Degerfors Golf;Örebro läns GDF
Karlskoga Golfklubb;Örebro läns GDF
Kumla Golfklubb;Örebro läns GDF
Kårsta Golfklubb;Örebro läns GDF
Lannalodge Golfresort;Örebro läns GDF
Lindesbergs Golfklubb;Örebro läns GDF
Nora Golfklubb;Örebro läns GDF
Stjernfors Golfklubb;Örebro läns GDF
Örebro City Golf & Country Club;Örebro läns GDF
Bryttsätter Golfklubb;Östergötlands GDF
Bråvikens Golfklubb;Östergötlands GDF
Finspångs Golfklubb;Östergötlands GDF
Flemminge Golfklubb;Östergötlands GDF
Ingelsta Golfklubb;Östergötlands GDF
Kinda Golfklubb;Östergötlands GDF
Landeryds Golfklubb;Östergötlands GDF
Linköpings Golfklubb;Östergötlands GDF
Mauritzbergs Slott & Golf;Östergötlands GDF
Mjölby Golfklubb;Östergötlands GDF
Motala Golfklubb;Östergötlands GDF
Norrköping Söderköping Golfklubb;Östergötlands GDF
Ombergs Golf Resort;Östergötlands GDF
Vadstena Golfklubb;Östergötlands GDF
Villa Baro Golf Åtvidaberg;Östergötlands GDF
Vreta Kloster Golfklubb;Östergötlands GDF
Vårdsbergs Golfklubb;Östergötlands GDF
Waldemarsviks Golfbana;Östergötlands GDF
Östad Golf Väderstad;Östergötlands GDF
